"tag" "location" "year" "sex" "duration" "nclicks" "crate" "ddc"
"1" "pm10_211b" "Azores" 2010 "UN" 47819 43037 0.899997908781028 13
"2" "pm10_222a" "Azores" 2010 "UN" 22249 18037 0.810688120814419 7
"3" "pm10_222b" "Azores" 2010 "UN" 53744 28762 0.535166716284609 9
"4" "pm10_226a" "Azores" 2010 "UN" 61415 52345 0.852316209395099 18
"5" "pm10_227b" "Azores" 2010 "UN" 1399 1027 0.73409578270193 1
"6" "pm10_228a" "Azores" 2010 "UN" 71632 50026 0.698375027920482 21
"7" "pm10_228b" "Azores" 2010 "UN" 52105 38085 0.730927933979465 14
"8" "pm10_230a" "Azores" 2010 "UN" 47131 46455 0.98565699857843 16
"9" "pm13_050a" "Kaikoura" 2013 "PM" 5874 4771 0.812223357167177 2
"10" "pm13_051a" "Kaikoura" 2013 "PM" 10972 8940 0.814801312431644 3
"11" "pm13_056a" "Kaikoura" 2013 "PM" 28837 22162 0.768526545757187 7
"12" "pm13_057a" "Kaikoura" 2013 "PM" 6775 7634 1.12678966789668 2
"13" "pm13_061a" "Kaikoura" 2013 "PM" 22007 15348 0.697414459035761 6
"14" "pm13_061b" "Kaikoura" 2013 "PM" 17519 11932 0.681089103259318 5
"15" "sw01_200a" "GoM" 2001 "F" 30131 26214 0.870000995652318 9
"16" "sw01_204a" "GoM" 2001 "F" 18773 19558 1.04181537314228 6
"17" "sw01_208b" "GoM" 2001 "M" 8022 2791 0.347918224881576 1
"18" "sw01_209c" "GoM" 2001 "F" 10568 14358 1.35862982588948 4
"19" "sw01_265a" "Mediterranean" 2001 "UN" 11857 8016 0.676056338028169 4
"20" "sw02_235c" "GoM" 2002 "F" 6540 6181 0.945107033639144 2
"21" "sw02_237a" "GoM" 2002 "UN" 10383 7584 0.730424732736203 2
"22" "sw02_238a" "GoM" 2002 "F" 13462 17838 1.32506314069232 4
"23" "sw02_238b" "GoM" 2002 "UN" 7550 8853 1.17258278145695 3
"24" "sw02_239a" "GoM" 2002 "F" 44469 52441 1.17927095279858 13
"25" "sw02_239b" "GoM" 2002 "UN" 2539 3929 1.5474596297755 1
"26" "sw02_240a" "GoM" 2002 "UN" 2177 3069 1.40973817179605 1
"27" "sw02_240c" "GoM" 2002 "UN" 17847 20945 1.1735865971872 5
"28" "sw02_248a" "GoM" 2002 "UN" 2737 4407 1.61015710632079 1
"29" "sw02_249a" "GoM" 2002 "UN" 5904 7758 1.3140243902439 2
"30" "sw02_253a" "GoM" 2002 "UN" 12125 14366 1.18482474226804 4
"31" "sw02_254a" "GoM" 2002 "F" 41142 47351 1.15091633853483 12
"32" "sw02_254b" "GoM" 2002 "F" 42275 34540 0.817031342400946 10
"33" "sw02_254c" "GoM" 2002 "UN" 42180 43407 1.02908961593172 10
"34" "sw03_156a" "GoM" 2003 "UN" 17329 22542 1.30082520630158 6
"35" "sw03_162a" "GoM" 2003 "UN" 2970 4190 1.41077441077441 1
"36" "sw03_163a" "GoM" 2003 "UN" 22802 2867 0.125734584685554 2
"37" "sw03_164a" "GoM" 2003 "UN" 48144 48702 1.01159022931206 11
"38" "sw03_165a" "GoM" 2003 "UN" 47260 48091 1.01758358019467 12
"39" "sw03_165b" "GoM" 2003 "UN" 58773 77272 1.31475337314753 17
"40" "sw03_167a" "GoM" 2003 "UN" 9203 7629 0.828968814517005 3
"41" "sw03_173b" "GoM" 2003 "UN" 3642 3966 1.08896210873147 1
"42" "sw03_197a" "Delaware" 2003 "M" 6825 5561 0.814798534798535 2
"43" "sw03_197b" "Delaware" 2003 "M" 8447 3650 0.432106073162069 2
"44" "sw03_201b" "Delaware" 2003 "M" 9967 5922 0.594160730410354 2
